Index,class
40977,0
24157,0
56238,1
55411,1
53175,1
30996,1
41265,1
45220,1
16775,1
53168,0
54117,1
35937,1
57354,1
21311,1
46646,1
4660,1
2903,0
28876,0
3331,1
1928,0
24976,1
42702,1
57443,1
51201,0
30745,1
790,0
37199,1
28003,1
2140,1
27041,1
1260,0
27467,1
22268,1
25828,1
51202,1
53787,0
27098,0
28185,1
50280,1
7028,1
41482,1
35166,1
48246,1
7678,0
11729,0
51658,1
11679,1
1693,1
24553,1
14098,0
5043,0
53015,1
15455,1
30674,1
17736,0
8113,0
13537,0
2603,1
13377,1
26234,0
17785,1
1270,0
36488,1
41603,1
10218,0
7692,0
12228,1
33718,1
9288,0
5270,1
38418,1
37349,1
22848,0
49949,1
39015,0
3965,0
27605,0
36673,1
55781,1
2634,0
28658,1
46444,1
7950,1
17304,0
15981,0
10707,0
26528,1
39851,1
49159,1
44058,1
25541,1
35456,1
4295,0
27811,1
7158,0
21534,0
3683,1
18530,0
16575,1
20316,0
52830,0
26752,0
40132,1
620,1
5861,0
16746,1
6867,0
28324,0
32244,1
21508,1
30136,0
36934,1
32661,0
35332,1
38708,1
43718,1
23238,1
54044,1
38327,1
34209,0
29494,1
56009,1
8091,0
18003,1
29096,0
32675,1
23075,0
55547,1
4174,0
28310,1
7226,0
19613,0
55548,1
39235,1
42863,1
2533,0
1457,1
48338,0
31136,0
36071,0
24886,0
17943,1
48898,1
35156,1
2689,1
14314,1
41616,1
17096,0
33731,1
27226,1
16194,0
11295,1
9774,1
12882,0
36502,1
7469,1
31074,0
23729,0
35016,1
51475,1
48563,1
56327,1
3205,0
31455,1
34475,1
17286,1
35914,1
43597,0
43812,1
3559,0
41392,0
52702,1
5135,0
51730,1
5764,0
10740,1
25138,1
27257,0
50829,0
41056,1
56728,0
32267,1
45789,1
55317,1
9869,1
44378,1
21350,1
54576,0
24238,1
55082,1
16778,0
17743,1
35777,0
37840,1
46421,0
53303,1
3149,1
45045,1
44453,0
43119,1
55539,1
41272,0
8491,0
31858,0
1851,1
28435,0
8355,0
53556,1
4692,0
56881,1
9694,0
22991,0
11559,0
42443,1
30547,1
44946,1
7035,1
3357,0
31041,1
53987,1
30767,1
46502,1
51424,0
38999,1
51561,1
2498,1
8444,1
52847,0
39388,0
32423,0
20797,0
19841,0
5724,1
27877,0
27668,1
35030,1
11500,1
37873,0
29935,0
8398,0
46730,0
12366,0
12240,1
46527,1
34929,1
6872,0
52592,1
46185,1
36417,0
21853,0
39980,1
13911,1
12605,1
25990,0
56015,1
54580,1
5466,1
45963,1
31107,0
30528,0
11279,0
44840,1
54937,1
31029,1
44787,1
41727,1
36843,0
45052,1
1391,1
54874,0
52652,0
57360,1
27243,1
50357,0
56874,1
52855,1
14340,0
18419,0
11421,0
9421,1
1800,0
41452,1
3152,1
40378,0
57921,0
35029,1
33334,1
1383,0
51655,1
7736,0
25511,0
32640,1
12235,0
17273,1
17233,1
57331,0
2188,1
49673,0
34481,0
57749,0
42150,1
51852,1
19615,1
23787,0
15201,1
8865,0
52714,1
34757,0
35772,0
896,0
23462,1
11854,0
17746,0
42892,1
44192,1
1212,0
49518,0
32797,1
49706,0
19431,1
57919,1
41052,1
48669,1
50827,1
3595,0
2523,0
54397,1
30646,0
25733,1
24695,1
32846,1
46803,1
41760,1
50451,1
52375,0
22005,0
54797,1
15438,1
34939,1
24777,0
42818,1
3064,0
42715,1
27092,0
52341,1
32514,1
42984,1
50973,1
38866,0
37252,1
26624,1
34086,1
53979,0
27561,0
25737,0
18224,1
58121,1
48463,1
24850,1
9030,0
5806,1
14817,0
42828,0
33902,0
22673,1
6953,0
38784,1
47736,0
36687,0
14865,1
54900,1
10753,0
52568,1
24429,0
42110,0
32958,0
49739,1
41526,0
41674,0
7576,1
14421,0
36496,1
48362,1
49538,1
34118,0
43723,0
27027,0
52132,0
18339,1
38856,0
42930,1
16227,1
6466,0
33192,1
28483,0
3970,0
57040,0
15008,0
3621,0
54410,1
1246,1
29065,0
40084,0
38408,1
10499,0
42454,1
26289,1
3283,0
20705,0
49038,0
24347,1
3633,1
31276,1
14378,0
164,0
36759,1
42992,0
24923,0
57412,0
6065,0
28469,0
9920,1
3219,0
13323,1
40592,0
56078,1
4527,0
52589,0
24971,0
30681,0
40450,0
11495,1
19331,0
12152,1
47222,0
24586,0
40226,0
16049,0
14349,1
30994,1
716,1
6473,1
184,0
33339,1
3011,0
57773,1
54171,1
30835,0
9302,1
19077,0
45037,0
23558,1
37302,1
56990,1
26766,0
1153,0
49550,1
7003,1
28961,0
53506,1
39006,1
32197,1
10075,0
33783,0
54788,1
17959,0
55660,1
42835,0
55381,0
28714,0
22439,1
7911,1
48479,1
38033,0
38810,1
46461,1
49266,1
39732,0
13554,1
18376,0
19088,0
15488,1
50742,1
52463,1
40692,0
46629,1
40827,1
11587,1
54248,0
36922,0
33414,1
52264,0
57539,1
41348,1
13281,1
6565,0
46008,1
13512,0
54103,1
27333,0
5424,1
54083,1
24169,0
36106,1
7738,1
18298,0
16765,0
19143,1
4685,0
57854,1
17169,0
45297,1
46073,1
6018,0
42397,0
53375,1
22657,0
5290,1
22935,1
20490,1
30565,1
4280,1
26304,1
44552,1
29693,0
46504,1
12765,1
32378,1
35077,1
41810,0
3290,0
57829,0
32062,1
29299,1
49365,0
25984,0
25045,1
13597,1
46686,1
36366,0
44991,0
29542,1
25720,1
29515,0
6389,1
55592,1
7680,0
57009,1
14864,0
13634,1
43975,1
44577,0
34619,1
53925,1
5486,0
13733,0
14810,0
53119,1
51030,1
48523,1
45592,1
8689,1
50099,1
332,0
27173,0
1533,1
35356,0
9667,0
46786,1
41290,1
27829,0
19932,0
13222,1
21941,0
4269,0
6919,0
8951,1
28022,0
267,1
41630,1
43267,0
7782,0
22499,1
32512,1
2419,1
58104,1
45588,0
54051,1
15873,0
23367,1
20162,0
44457,1
1579,1
12657,1
19525,0
39765,1
17759,1
13370,1
39800,1
30143,1
1724,1
15901,1
21029,1
21455,0
205,1
58134,0
6273,1
16976,1
31435,1
57851,1
27761,0
959,0
33772,1
19210,1
3299,1
46968,0
34740,0
16583,0
10484,1
18520,1
34519,1
16699,0
23086,0
32621,1
31464,1
43912,1
8912,0
30377,1
16391,1
33282,0
28260,0
12490,1
30874,1
5111,1
41015,1
19662,1
46493,1
30620,0
1845,1
29143,0
13738,1
33523,1
51538,0
14787,0
50029,1
21155,1
4415,0
37546,1
50890,1
8045,1
39199,1
48112,1
33923,1
1970,0
36432,1
18061,1
27397,0
48845,1
47589,0
54895,1
18022,0
28411,1
57074,1
49112,0
12396,0
2710,0
20055,0
21190,1
32140,1
26092,0
56872,0
4468,1
11366,1
56964,1
35817,1
8922,0
40317,1
